,id,reviewContent,createDate,reviewScore
2125,3343832897,배송 넘나빻라요 굿굿,2022-01-11T03:21:45.171+0000,5
2126,3324603973,선문받아 먹어보고 효과가 있기에 주문합니다,2021-12-15T04:24:29.722+0000,5
2127,3342604275,구매했는데 만족해요,2022-01-09T05:16:35.313+0000,4
2128,3342034155,원래 먹던거라 먹는데 과대포장 ,2022-01-08T07:01:19.532+0000,4
2129,3324613853,맛있어요 장건강 좋아지길 ,2021-12-15T04:38:12.749+0000,5
2130,3342273504,너무 만족하게 먹고있어요 ,2022-01-08T13:17:55.918+0000,5
2131,3312565246,전에 락토핏먹다 다른 유산균 먹어보고 x로 바뀌고나서 다시 바꿔봤는데 먹기도 좋고 편하네요 선물세트 포장이라 선물용으로도 좋을거 같아요유산균 맛중에 최고 맛난거 같아요 ,2021-11-28T11:40:42.855+0000,5
2132,3329424588,맛있게먹고잇어요,2021-12-21T13:46:00.488+0000,5
2133,3340062226,주기적으로 구매해서 먹는데 좋습니다,2022-01-05T23:21:09.602+0000,5
2134,3327167458,할인했어 싸게 구입했네요,2021-12-18T09:15:40.255+0000,4
2135,3342426070,저렴하게 구매했어요,2022-01-09T00:42:47.460+0000,4
2136,3335673134,매번 시켜먹고있어요 엄마가 너무 잘드세요,2021-12-30T09:09:30.318+0000,5
2137,3326563132,좋아요 이번기회에 저렴하게 그매했어요,2021-12-17T11:14:14.660+0000,5
2138,3341546931,늘 먹던거라 재구매했어요,2022-01-07T12:38:38.651+0000,5
2139,3342750104,늘 챙겨먹는 유산균,2022-01-09T10:15:02.848+0000,5
2140,3330398175,상자 깔끔하고 배송 빠릅니다 ,2021-12-23T00:20:06.085+0000,5
2141,3330783917,배송이 빨라요 ,2021-12-23T09:09:09.863+0000,5
2142,3330022593,좋아요맛있어요,2021-12-22T09:55:17.127+0000,5
2143,3341504861,언제나 먹는 락토핏 완전 좋아여,2022-01-07T11:37:55.589+0000,5
2144,3338483822,항상먹는것 다 떨어져가서 미리구매했어요,2022-01-04T01:41:28.171+0000,5
2145,3342990008,늘 잘먹고 있습니다,2022-01-09T23:09:02.366+0000,5
2146,3325029010,배송이 진짜 빠르고 착한 가격에 구매 합니다    ,2021-12-15T12:49:33.914+0000,4
2147,3321781906,가성비 좋고 휴대하기 편하고 맛도 있습니다,2021-12-11T02:58:47.836+0000,5
2148,3340172435,빠른배송에 꼼꼼한포장 좋네요,2022-01-06T01:50:50.989+0000,5
2149,3341135715,아주 빠르게 배송되서 좋아요,2022-01-07T03:50:41.686+0000,5
2150,3349556267,좋급니다 다옹,2022-01-18T13:04:18.084+0000,5
2151,3343146074,또 주문하겠습니다,2022-01-10T02:37:41.205+0000,4
2152,3340307652,항상 구입하는 게에요좋아요,2022-01-06T04:42:25.771+0000,5
2153,3338152142,애들이 좋아하는 맛 유산균이라 늘 구매중입니다 ,2022-01-03T09:56:28.293+0000,5
2154,3337823771,항상 먹던거라 지인에게 선물 해줬네요 좋습니다,2022-01-03T02:00:42.643+0000,5
2155,3323276012,유통기한 길고 배송총알에 엄청 싸게 잘 샀어요,2021-12-13T07:57:19.461+0000,5
2156,3344497851,아주 좋아용 조아용 ,2022-01-11T19:16:34.882+0000,5
2157,3335497391,빠른 배송에 놀랐고 울 신랑의 최애 유산균을 제가 사 주게 돼 뿌듯해요,2021-12-30T05:20:02.608+0000,5
2158,3323518273,늘 먹던제품이에요 다음번에도 구매할게요,2021-12-13T15:06:15.293+0000,4
2159,3335312754,배송이 엄청 빠르네요 늘 먹는 제품입니다,2021-12-30T01:24:00.600+0000,5
2160,3326517019,배송 너무짤라서조아요,2021-12-17T10:08:36.516+0000,5
2161,3325378077,애기꺼도 하나 사봐야겟어요,2021-12-16T03:23:49.935+0000,5
2162,3339242868,상품 배송이 무지 빨랐고 맛도 괜찮네요,2022-01-04T23:44:47.241+0000,5
2163,3338834362,간편하게 하루한포씩먹기좋습니다,2022-01-04T09:44:52.541+0000,3
2164,3322580153,먹기 좋아요 노란색이 젤 맛있어요,2021-12-12T07:24:04.692+0000,5
2165,3358751176,긋,2022-02-03T06:19:42.566+0000,5
2166,3341247507,빠른배송 감사합니다,2022-01-07T05:58:58.183+0000,5
2167,3325059660,재구매인데 먹기도 편하고  장도 편합니다,2021-12-15T13:24:07.749+0000,5
